,test,stat,p,h0,x_label,y_label,model
0,shapiro_stat,0.9843229651451111,0.2835347652435303,cpp - that the data was drawn from normal distribution,cpp,java,cpp
1,dagostino_stat,0.21396373927144607,0.8985419637357472,cpp - that the data was drawn from normal distribution,cpp,java,cpp
0,shapiro_stat,0.989044725894928,0.5880916714668274,java - that the data was drawn from normal distribution,cpp,java,cpp
1,dagostino_stat,0.36693915230470553,0.8323771994697718,java - that the data was drawn from normal distribution,cpp,java,cpp
0,t_test_one_sided,55.14655966131287,3.2015814910775795e-108,cpp is not greater than java,cpp,java,cpp
0,wilcoxon,5050.0,1.9476205883528185e-18,cpp is not greater than java,cpp,java,cpp
0,shapiro_stat,0.9843229651451111,0.2835347652435303,cpp - that the data was drawn from normal distribution,cpp,javascript,cpp
1,dagostino_stat,0.21396373927144607,0.8985419637357472,cpp - that the data was drawn from normal distribution,cpp,javascript,cpp
0,shapiro_stat,0.991595983505249,0.7912443280220032,javascript - that the data was drawn from normal distribution,cpp,javascript,cpp
1,dagostino_stat,0.060830761935022404,0.9700425126532654,javascript - that the data was drawn from normal distribution,cpp,javascript,cpp
0,t_test_one_sided,50.86761218801775,9.921894026092208e-102,cpp is not greater than javascript,cpp,javascript,cpp
0,wilcoxon,5050.0,1.9476205883528185e-18,cpp is not greater than javascript,cpp,javascript,cpp
0,shapiro_stat,0.9843229651451111,0.2835347652435303,cpp - that the data was drawn from normal distribution,cpp,php,cpp
1,dagostino_stat,0.21396373927144607,0.8985419637357472,cpp - that the data was drawn from normal distribution,cpp,php,cpp
0,shapiro_stat,0.9604966640472412,0.004363475367426872,php - that the data was drawn from normal distribution,cpp,php,cpp
1,dagostino_stat,6.15737348811819,0.04601965256484565,php - that the data was drawn from normal distribution,cpp,php,cpp
0,t_test_one_sided,62.80574107404077,8.772834929607353e-89,cpp is not greater than php,cpp,php,cpp
0,wilcoxon,5050.0,1.9476205883528185e-18,cpp is not greater than php,cpp,php,cpp
0,shapiro_stat,0.9843229651451111,0.2835347652435303,cpp - that the data was drawn from normal distribution,cpp,python,cpp
1,dagostino_stat,0.21396373927144607,0.8985419637357472,cpp - that the data was drawn from normal distribution,cpp,python,cpp
0,shapiro_stat,0.9796760678291321,0.12542858719825745,python - that the data was drawn from normal distribution,cpp,python,cpp
1,dagostino_stat,3.5200126815787383,0.1720437729262656,python - that the data was drawn from normal distribution,cpp,python,cpp
0,t_test_one_sided,66.47177795047871,6.291196099847956e-103,cpp is not greater than python,cpp,python,cpp
0,wilcoxon,5050.0,1.9476205883528185e-18,cpp is not greater than python,cpp,python,cpp
0,shapiro_stat,0.975649356842041,0.06065985560417175,java - that the data was drawn from normal distribution,java,cpp,java
1,dagostino_stat,5.697525359986992,0.05791593710728132,java - that the data was drawn from normal distribution,java,cpp,java
0,shapiro_stat,0.9808085560798645,0.15360894799232483,cpp - that the data was drawn from normal distribution,java,cpp,java
1,dagostino_stat,2.53976359222328,0.2808648191300378,cpp - that the data was drawn from normal distribution,java,cpp,java
0,t_test_one_sided,71.4899225865141,2.693767445377547e-122,java is not greater than cpp,java,cpp,java
0,wilcoxon,5050.0,1.9471811497364043e-18,java is not greater than cpp,java,cpp,java
0,shapiro_stat,0.975649356842041,0.06065985560417175,java - that the data was drawn from normal distribution,java,javascript,java
1,dagostino_stat,5.697525359986992,0.05791593710728132,java - that the data was drawn from normal distribution,java,javascript,java
0,shapiro_stat,0.979137659072876,0.11385592073202133,javascript - that the data was drawn from normal distribution,java,javascript,java
1,dagostino_stat,5.432720489967466,0.06611495927248615,javascript - that the data was drawn from normal distribution,java,javascript,java
0,t_test_one_sided,46.50181797453833,6.48853840689095e-86,java is not greater than javascript,java,javascript,java
0,wilcoxon,5050.0,1.9471811497364043e-18,java is not greater than javascript,java,javascript,java
0,shapiro_stat,0.975649356842041,0.06065985560417175,java - that the data was drawn from normal distribution,java,php,java
1,dagostino_stat,5.697525359986992,0.05791593710728132,java - that the data was drawn from normal distribution,java,php,java
0,shapiro_stat,0.9728948473930359,0.036969248205423355,php - that the data was drawn from normal distribution,java,php,java
1,dagostino_stat,6.275727855503142,0.043375351901221146,php - that the data was drawn from normal distribution,java,php,java
0,t_test_one_sided,67.35827732418566,1.6466900038282783e-91,java is not greater than php,java,php,java
0,wilcoxon,5050.0,1.9471811497364043e-18,java is not greater than php,java,php,java
0,shapiro_stat,0.975649356842041,0.06065985560417175,java - that the data was drawn from normal distribution,java,python,java
1,dagostino_stat,5.697525359986992,0.05791593710728132,java - that the data was drawn from normal distribution,java,python,java
0,shapiro_stat,0.9760761260986328,0.06551675498485565,python - that the data was drawn from normal distribution,java,python,java
1,dagostino_stat,2.263933046883132,0.3223986281612894,python - that the data was drawn from normal distribution,java,python,java
0,t_test_one_sided,91.50089678568366,4.9366341602002204e-117,java is not greater than python,java,python,java
0,wilcoxon,5050.0,1.9471811497364043e-18,java is not greater than python,java,python,java
0,shapiro_stat,0.9842829704284668,0.2816219925880432,javascript - that the data was drawn from normal distribution,javascript,cpp,javascript
1,dagostino_stat,2.2825900767966436,0.31940511197495525,javascript - that the data was drawn from normal distribution,javascript,cpp,javascript
