,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_cpp_researcher_1,classification_report_cpp_researcher_1,macro_f1_cpp_researcher_1,roc-auc_cpp_researcher_1,perf_predict_runtime_cpp_researcher_1,timeit_runtime_cpp_researcher_1,man_validation_samples_cpp_researcher_2,classification_report_cpp_researcher_2,macro_f1_cpp_researcher_2,roc-auc_cpp_researcher_2,perf_predict_runtime_cpp_researcher_2,timeit_runtime_cpp_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2410105640010443,3.2855126953125,464,6250,0,5416,"{""artifact"": {""precision"": 0.9817403708987161, ""recall"": 0.9279935275080906, ""f1-score"": 0.9541106335782614, ""support"": 3708}, ""text"": {""precision"": 0.8602825745682888, ""recall"": 0.9625292740046838, ""f1-score"": 0.9085382702403979, ""support"": 1708}, ""accuracy"": 0.9388847858197932, ""macro avg"": {""precision"": 0.9210114727335025, ""recall"": 0.9452614007563872, ""f1-score"": 0.9313244519093297, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9434372106083968, ""recall"": 0.9388847858197932, ""f1-score"": 0.939738846912628, ""support"": 5416}}",0.9313244519093297,0.9452614007563872,0.4691315569943981,0.4506071769996197,5418,"{""artifact"": {""precision"": 0.9787113255747942, ""recall"": 0.927130949179887, ""f1-score"": 0.952223142778238, ""support"": 3719}, ""text"": {""precision"": 0.8569920844327177, ""recall"": 0.9558563861094762, ""f1-score"": 0.9037284362826935, ""support"": 1699}, ""accuracy"": 0.9361387966039129, ""macro avg"": {""precision"": 0.917851705003756, ""recall"": 0.9414936676446817, ""f1-score"": 0.9279757895304658, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9405420766452284, ""recall"": 0.9361387966039129, ""f1-score"": 0.9370159618376824, ""support"": 5418}}",0.9279757895304658,0.9414936676446816,0.45241374999750406,0.47499574059911537
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2151791359938215,3.2620693359375,872,6250,1,5416,"{""artifact"": {""precision"": 0.9770773638968482, ""recall"": 0.9196332254584682, ""f1-score"": 0.9474854126146152, ""support"": 3708}, ""text"": {""precision"": 0.8452751817237798, ""recall"": 0.9531615925058547, ""f1-score"": 0.8959823885525592, ""support"": 1708}, ""accuracy"": 0.9302067946824224, ""macro avg"": {""precision"": 0.911176272810314, ""recall"": 0.9363974089821614, ""f1-score"": 0.9217339005835872, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9355119785291228, ""recall"": 0.9302067946824224, ""f1-score"": 0.9312433215699342, ""support"": 5416}}",0.9217339005835872,0.9363974089821614,0.44888617099786643,0.45136336190043946,5418,"{""artifact"": {""precision"": 0.9743223965763196, ""recall"": 0.9182575961279914, ""f1-score"": 0.9454595791805095, ""support"": 3719}, ""text"": {""precision"": 0.8410872974385781, ""recall"": 0.9470276633313714, ""f1-score"": 0.8909191583610188, ""support"": 1699}, ""accuracy"": 0.9272794389073459, ""macro avg"": {""precision"": 0.9077048470074489, ""recall"": 0.9326426297296815, ""f1-score"": 0.9181893687707641, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9325419548201324, ""recall"": 0.9272794389073459, ""f1-score"": 0.9283565568526553, ""support"": 5418}}",0.9181893687707641,0.9326426297296815,0.45300284499535337,0.45291949669917814
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1244897240103455,3.213783203125,563,6250,2,5416,"{""artifact"": {""precision"": 0.9801079852230747, ""recall"": 0.930151024811219, ""f1-score"": 0.9544762695447627, ""support"": 3708}, ""text"": {""precision"": 0.8634686346863468, ""recall"": 0.9590163934426229, ""f1-score"": 0.9087378640776699, ""support"": 1708}, ""accuracy"": 0.9392540620384048, ""macro avg"": {""precision"": 0.9217883099547108, ""recall"": 0.9445837091269209, ""f1-score"": 0.9316070668112163, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9433243791084642, ""recall"": 0.9392540620384048, ""f1-score"": 0.9400521195193207, ""support"": 5416}}",0.9316070668112163,0.944583709126921,0.44730043500021566,0.4500472625004477,5418,"{""artifact"": {""precision"": 0.9773242630385488, ""recall"": 0.927130949179887, ""f1-score"": 0.9515661653097834, ""support"": 3719}, ""text"": {""precision"": 0.8566137566137566, ""recall"": 0.9529134785167745, ""f1-score"": 0.9022011702424074, ""support"": 1699}, ""accuracy"": 0.9352159468438538, ""macro avg"": {""precision"": 0.9169690098261527, ""recall"": 0.9400222138483307, ""f1-score"": 0.9268836677760954, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9394713375280797, ""recall"": 0.9352159468438538, ""f1-score"": 0.9360860754944508, ""support"": 5418}}",0.9268836677760954,0.9400222138483307,0.45433560499805026,0.45652858039975397
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1927210680005373,3.184322265625,645,6250,3,5416,"{""artifact"": {""precision"": 0.9710720363017583, ""recall"": 0.9234088457389428, ""f1-score"": 0.9466408625933094, ""support"": 3708}, ""text"": {""precision"": 0.8497354497354498, ""recall"": 0.9402810304449649, ""f1-score"": 0.8927181767648695, ""support"": 1708}, ""accuracy"": 0.9287296898079763, ""macro avg"": {""precision"": 0.910403743018604, ""recall"": 0.9318449380919538, ""f1-score"": 0.9196795196790895, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9328071009518221, ""recall"": 0.9287296898079763, ""f1-score"": 0.9296357024391412, ""support"": 5416}}",0.9196795196790895,0.9318449380919539,0.4458070830005454,0.44560259389982093,5418,"{""artifact"": {""precision"": 0.9682539682539683, ""recall"": 0.9185264856144125, ""f1-score"": 0.9427349247964675, ""support"": 3719}, ""text"": {""precision"": 0.8396825396825397, ""recall"": 0.9340788699234844, ""f1-score"": 0.8843689049874617, ""support"": 1699}, ""accuracy"": 0.9234034699150978, ""macro avg"": {""precision"": 0.903968253968254, ""recall"": 0.9263026777689485, ""f1-score"": 0.9135519148919646, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9279359805937879, ""recall"": 0.9234034699150978, ""f1-score"": 0.924432254501986, ""support"": 5418}}",0.9135519148919646,0.9263026777689485,0.44841437600553036,0.45139422479987845
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2004466529906495,3.080087890625,619,6250,4,5416,"{""artifact"": {""precision"": 0.9822806516147471, ""recall"": 0.9269147788565264, ""f1-score"": 0.9537949216039961, ""support"": 3708}, ""text"": {""precision"": 0.8586332811684925, ""recall"": 0.9637002341920374, ""f1-score"": 0.9081379310344828, ""support"": 1708}, ""accuracy"": 0.9385155096011817, ""macro avg"": {""precision"": 0.9204569663916198, ""recall"": 0.945307506524282, ""f1-score"": 0.9309664263192394, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9432869830914452, ""recall"": 0.9385155096011817, ""f1-score"": 0.9393964467345853, ""support"": 5416}}",0.9309664263192394,0.945307506524282,0.4505646999896271,0.4496621117999894,5418,"{""artifact"": {""precision"": 0.9797663151895126, ""recall"": 0.9244420543156763, ""f1-score"": 0.951300498063088, ""support"": 3719}, ""text"": {""precision"": 0.8528025144054479, ""recall"": 0.9582107121836374, ""f1-score"": 0.9024390243902439, ""support"": 1699}, ""accuracy"": 0.935031376891842, ""macro avg"": {""precision"": 0.9162844147974802, ""recall"": 0.9413263832496568, ""f1-score"": 0.926869761226666, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9399524544416119, ""recall"": 0.935031376891842, ""f1-score"": 0.9359783046761995, ""support"": 5418}}",0.926869761226666,0.9413263832496569,0.4562673909967998,0.451092833300936
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2145773679949343,3.2196962890625,627,6250,5,5416,"{""artifact"": {""precision"": 0.9803468208092485, ""recall"": 0.9147788565264293, ""f1-score"": 0.9464285714285714, ""support"": 3708}, ""text"": {""precision"": 0.8384458077709611, ""recall"": 0.9601873536299765, ""f1-score"": 0.8951965065502183, ""support"": 1708}, ""accuracy"": 0.9290989660265879, ""macro avg"": {""precision"": 0.9093963142901048, ""recall"": 0.9374831050782029, ""f1-score"": 0.9208125389893949, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9355966490460663, ""recall"": 0.9290989660265879, ""f1-score"": 0.9302719305843641, ""support"": 5416}}",0.9208125389893949,0.937483105078203,0.44495196800562553,0.44729394530004357,5418,"{""artifact"": {""precision"": 0.9784296807592753, ""recall"": 0.9147620328045173, ""f1-score"": 0.9455252918287937, ""support"": 3719}, ""text"": {""precision"": 0.8366821226172076, ""recall"": 0.9558563861094762, ""f1-score"": 0.8923076923076922, ""support"": 1699}, ""accuracy"": 0.9276485788113695, ""macro avg"": {""precision"": 0.9075559016882415, ""recall"": 0.9353092094569968, ""f1-score"": 0.918916492068243, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9339798650923552, ""recall"": 0.9276485788113695, ""f1-score"": 0.9288370855559345, ""support"": 5418}}",0.918916492068243,0.9353092094569969,0.451843408998684,0.45201787190017056
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2888705640070839,3.2169892578125,388,6250,6,5416,"{""artifact"": {""precision"": 0.9809767177739921, ""recall"": 0.9317691477885652, ""f1-score"": 0.9557399723374828, ""support"": 3708}, ""text"": {""precision"": 0.8664202745512144, ""recall"": 0.9607728337236534, ""f1-score"": 0.9111604664075514, ""support"": 1708}, ""accuracy"": 0.9409158050221565, ""macro avg"": {""precision"": 0.9236984961626032, ""recall"": 0.9462709907561093, ""f1-score"": 0.9334502193725172, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9448499812480496, ""recall"": 0.9409158050221565, ""f1-score"": 0.9416812950612046, ""support"": 5416}}",0.9334502193725172,0.9462709907561093,0.4506151349924039,0.4525445221006521,5418,"{""artifact"": {""precision"": 0.9776710005652911, ""recall"": 0.9300887335305189, ""f1-score"": 0.9532864820173625, ""support"": 3719}, ""text"": {""precision"": 0.8617021276595744, ""recall"": 0.9535020600353149, ""f1-score"": 0.9052808046940485, ""support"": 1699}, ""accuracy"": 0.9374307862679956, ""macro avg"": {""precision"": 0.9196865641124328, ""recall"": 0.9417953967829169, ""f1-score"": 0.9292836433557055, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9413049771125755, ""recall"": 0.9374307862679956, ""f1-score"": 0.9382326529711628, ""support"": 5418}}",0.9292836433557055,0.9417953967829169,0.45317463799437974,0.4551231994002592
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2307308960007504,3.161828125,557,6250,7,5416,"{""artifact"": {""precision"": 0.9766591676040495, ""recall"": 0.9366235167206041, ""f1-score"": 0.9562224669603524, ""support"": 3708}, ""text"": {""precision"": 0.8736559139784946, ""recall"": 0.9514051522248244, ""f1-score"": 0.9108744394618833, ""support"": 1708}, ""accuracy"": 0.941285081240768, ""macro avg"": {""precision"": 0.925157540791272, ""recall"": 0.9440143344727142, ""f1-score"": 0.9335484532111178, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9441758667930363, ""recall"": 0.941285081240768, ""f1-score"": 0.9419214272691807, ""support"": 5416}}",0.9335484532111178,0.9440143344727142,0.45180403599806596,0.44729516760125987,5418,"{""artifact"": {""precision"": 0.972752808988764, ""recall"": 0.9311642914762033, ""f1-score"": 0.9515043275175161, ""support"": 3719}, ""text"": {""precision"": 0.8622174381054898, ""recall"": 0.9429075927015892, ""f1-score"": 0.9007590666291819, ""support"": 1699}, ""accuracy"": 0.9348468069398302, ""macro avg"": {""precision"": 0.9174851235471269, ""recall"": 0.9370359420888963, ""f1-score"": 0.9261316970733491, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9380906467276561, ""recall"": 0.9348468069398302, ""f1-score"": 0.9355914079440057, ""support"": 5418}}",0.9261316970733491,0.9370359420888962,0.45281664600770455,0.4557129741006065
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.18044990299677,3.1859873046875,747,6250,8,5416,"{""artifact"": {""precision"": 0.9748930099857347, ""recall"": 0.9215210355987055, ""f1-score"": 0.9474559822542631, ""support"": 3708}, ""text"": {""precision"": 0.847723704866562, ""recall"": 0.9484777517564403, ""f1-score"": 0.8952749378281293, ""support"": 1708}, ""accuracy"": 0.9300221565731167, ""macro avg"": {""precision"": 0.9113083574261484, ""recall"": 0.9349993936775729, ""f1-score"": 0.9213654600411962, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9347886574850798, ""recall"": 0.9300221565731167, ""f1-score"": 0.9310000694256375, ""support"": 5416}}",0.9213654600411962,0.9349993936775728,0.4518971699872054,0.4477725382996141,5418,"{""artifact"": {""precision"": 0.972419675860108, ""recall"": 0.9196020435600968, ""f1-score"": 0.9452736318407959, ""support"": 3719}, ""text"": {""precision"": 0.8427143608627038, ""recall"": 0.9429075927015892, ""f1-score"": 0.89, ""support"": 1699}, ""accuracy"": 0.9269102990033222, ""macro avg"": {""precision"": 0.907567018361406, ""recall"": 0.931254818130843, ""f1-score"": 0.917636815920398, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9317461191638012, ""recall"": 0.9269102990033222, ""f1-score"": 0.9279406860125359, ""support"": 5418}}",0.917636815920398,0.9312548181308429,0.45409748899692204,0.45074156820046485
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.3448423750087386,3.2618916015625,158,6250,9,5416,"{""artifact"": {""precision"": 0.9788631819480148, ""recall"": 0.924217907227616, ""f1-score"": 0.9507559994451381, ""support"": 3708}, ""text"": {""precision"": 0.8532637075718016, ""recall"": 0.9566744730679156, ""f1-score"": 0.9020149047750483, ""support"": 1708}, ""accuracy"": 0.9344534711964549, ""macro avg"": {""precision"": 0.9160634447599082, ""recall"": 0.9404461901477659, ""f1-score"": 0.9263854521100932, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9392538942385295, ""recall"": 0.9344534711964549, ""f1-score"": 0.9353849156754717, ""support"": 5416}}",0.9263854521100932,0.9404461901477658,0.4520053629967151,0.4542867149997619,5418,"{""artifact"": {""precision"": 0.9763801935116676, ""recall"": 0.9225598279107287, ""f1-score"": 0.9487073137010921, ""support"": 3719}, ""text"": {""precision"": 0.8487394957983193, ""recall"": 0.9511477339611536, ""f1-score"": 0.8970302525673051, ""support"": 1699}, ""accuracy"": 0.9315245478036176, ""macro avg"": {""precision"": 0.9125598446549934, ""recall"": 0.9368537809359412, ""f1-score"": 0.9228687831341986, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9363540684812175, ""recall"": 0.9315245478036176, ""f1-score"": 0.9325021961547089, ""support"": 5418}}",0.9228687831341986,0.9368537809359411,0.4562902340112487,0.4581976991990814
