,C++,Java,JavaScript,PHP,Python
Number of issues,41542.0,131329.0,187340.0,108568.0,159760.0
Issues containing MD codeblocks,9400.0,46079.0,66319.0,46523.0,95676.0
Issues in training set,9343.0,45980.0,66231.0,46422.0,95521.0
Artifact lines from issues,327615.0,1975090.0,2043327.0,1773366.0,4085192.0
Natural language lines from issues,82155.0,431281.0,682452.0,529900.0,1716916.0
Number of documentation files,618.0,683.0,2373.0,511.0,825.0
Artifact lines from documentation,20719.0,27372.0,139937.0,16335.0,37447.0
Natural language lines from documentation,34782.0,36482.0,109988.0,30864.0,51596.0
Lines in full training set,465271.0,2470225.0,2975704.0,2350465.0,5891151.0
Artifact lines in full training set,348334.0,2002462.0,2183264.0,1789701.0,4122639.0
Natural language lines in full training set,116937.0,467763.0,792440.0,560764.0,1768512.0
Number of issues in validation set,250.0,250.0,250.0,250.0,250.0
Artifact lines in validation set 1,3708.0,4688.0,3240.0,4226.0,8342.0
Natural language lines in validation set 1,1708.0,1887.0,1930.0,1964.0,2559.0
Artifact lines in validation set 2,3719.0,4672.0,3225.0,4198.0,8427.0
Natural language lines in validation set 2,1699.0,1906.0,1942.0,1991.0,2556.0
Cohens Kappa,0.963538030633101,0.972923986304099,0.9599289134885408,0.9200292126553998,0.948391729195762
ROC-AUC,0.9810832611618798,0.987926814693476,0.9805164695107502,0.9615809638782032,0.9740673450293712
