,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
80,80.0,2.0,1.0,"> Every Sass variable in Bootstrap 4 includes the !default flag, meaning you can override that default value in your own Sass **_even after that original variable’s been defined_**. Copy and paste variables as needed, modify the values, remove the !default flag, and recompile.",twbs_bootstrap_issues_23963,80.0,2.0,0.0,"> Every Sass variable in Bootstrap 4 includes the !default flag, meaning you can override that default value in your own Sass **_even after that original variable’s been defined_**. Copy and paste variables as needed, modify the values, remove the !default flag, and recompile.",twbs_bootstrap_issues_23963
97,97.0,19.0,1.0,"> ...if the variable has already been assigned to, it won't be re-assigned, but if it doesn't have a value yet, it will be given one.",twbs_bootstrap_issues_23963,97.0,19.0,0.0,"> ...if the variable has already been assigned to, it won't be re-assigned, but if it doesn't have a value yet, it will be given one.",twbs_bootstrap_issues_23963
122,122.0,3.0,0.0,- `var` -> `let` / `const`,TryGhost_Ghost_issues_9589,122.0,3.0,1.0,- `var` -> `let` / `const`,TryGhost_Ghost_issues_9589
123,123.0,4.0,0.0,- `_.includes(array)` -> `array.includes` (dropping v4 support at the end of April makes this possible),TryGhost_Ghost_issues_9589,123.0,4.0,1.0,- `_.includes(array)` -> `array.includes` (dropping v4 support at the end of April makes this possible),TryGhost_Ghost_issues_9589
124,124.0,5.0,0.0,- `_.each(array)` -> array.forEach,TryGhost_Ghost_issues_9589,124.0,5.0,1.0,- `_.each(array)` -> array.forEach,TryGhost_Ghost_issues_9589
125,125.0,6.0,0.0,- `_.isArray(array)` -> `Array.isArray(array)` - Only if it removes the necessity of requiring lodash in a specific file,TryGhost_Ghost_issues_9589,125.0,6.0,1.0,- `_.isArray(array)` -> `Array.isArray(array)` - Only if it removes the necessity of requiring lodash in a specific file,TryGhost_Ghost_issues_9589
126,126.0,7.0,0.0,- `_.isEmpty(array)` -> `array.length === 0` (or `!array.length`),TryGhost_Ghost_issues_9589,126.0,7.0,1.0,- `_.isEmpty(array)` -> `array.length === 0` (or `!array.length`),TryGhost_Ghost_issues_9589
322,322.0,0.0,0.0,IE8 + lodash + browserify: _.merge causes SCRIPT5002: Function expected,lodash_lodash_issues_288,322.0,0.0,1.0,IE8 + lodash + browserify: _.merge causes SCRIPT5002: Function expected,lodash_lodash_issues_288
401,401.0,7.0,0.0,<!-- https://stackoverflow.com/questions/ask?tags=webpack -->,webpack_webpack_issues_12879,401.0,7.0,1.0,<!-- https://stackoverflow.com/questions/ask?tags=webpack -->,webpack_webpack_issues_12879
402,402.0,8.0,0.0,<!-- https://gitter.im/webpack/webpack -->,webpack_webpack_issues_12879,402.0,8.0,1.0,<!-- https://gitter.im/webpack/webpack -->,webpack_webpack_issues_12879
426,426.0,32.0,0.0,  2. npm install,webpack_webpack_issues_12879,426.0,32.0,1.0,  2. npm install,webpack_webpack_issues_12879
427,427.0,33.0,0.0,  3. npm run serve,webpack_webpack_issues_12879,427.0,33.0,1.0,  3. npm run serve,webpack_webpack_issues_12879
430,430.0,36.0,0.0,  6. npm run build,webpack_webpack_issues_12879,430.0,36.0,1.0,  6. npm run build,webpack_webpack_issues_12879
431,431.0,37.0,0.0,  7. npm install -g serve,webpack_webpack_issues_12879,431.0,37.0,1.0,  7. npm install -g serve,webpack_webpack_issues_12879
432,432.0,38.0,0.0,  8. serve -s dist,webpack_webpack_issues_12879,432.0,38.0,1.0,  8. serve -s dist,webpack_webpack_issues_12879
435,435.0,41.0,0.0,  11. npm run build,webpack_webpack_issues_12879,435.0,41.0,1.0,  11. npm run build,webpack_webpack_issues_12879
436,436.0,42.0,0.0,  12. serve -s dist,webpack_webpack_issues_12879,436.0,42.0,1.0,  12. serve -s dist,webpack_webpack_issues_12879
569,569.0,7.0,0.0,"[README](http://tr.im/410Fg) (you did read the README, right?).",mui_material-ui_issues_4045,569.0,7.0,1.0,"[README](http://tr.im/410Fg) (you did read the README, right?).",mui_material-ui_issues_4045
932,932.0,370.0,0.0,- Material-UI: 0.15.0-beta.1,mui_material-ui_issues_4045,932.0,370.0,1.0,- Material-UI: 0.15.0-beta.1,mui_material-ui_issues_4045
933,933.0,371.0,0.0,- React: 15.0.1,mui_material-ui_issues_4045,933.0,371.0,1.0,- React: 15.0.1,mui_material-ui_issues_4045
1108,1108.0,25.0,0.0,- v2.9.0 (same in v2.9.3): https://codepen.io/FGRibreau/pen/QWwqjEa,chartjs_Chart.js_issues_6876,1108.0,25.0,1.0,- v2.9.0 (same in v2.9.3): https://codepen.io/FGRibreau/pen/QWwqjEa,chartjs_Chart.js_issues_6876
1438,1438.0,106.0,1.0,@joyeecheung @hashseed @jasnell @mcollina @addaleax,nodejs_node_issues_27196,1438.0,106.0,0.0,@joyeecheung @hashseed @jasnell @mcollina @addaleax ,nodejs_node_issues_27196
1455,1455.0,0.0,1.0,尤大你好，请问template和jsx能不能混写在一个template里,vuejs_vue_issues_9013,1455.0,0.0,0.0,尤大你好，请问template和jsx能不能混写在一个template里,vuejs_vue_issues_9013
1463,1463.0,8.0,1.0,中文用户请注意：,vuejs_vue_issues_9013,1463.0,8.0,0.0,中文用户请注意：,vuejs_vue_issues_9013
