,Unnamed: 0,Unnamed: 0.1,target1,doc1,url,Unnamed: 0,Unnamed: 0.1,target2,doc2,url
306,306,1,0.0,1. ```,https://github.com/orientechnologies/orientdb/issues/3913,306,1,1.0,1. ```,https://github.com/orientechnologies/orientdb/issues/3913
309,309,4,0.0,2. ```,https://github.com/orientechnologies/orientdb/issues/3913,309,4,1.0,2. ```,https://github.com/orientechnologies/orientdb/issues/3913
313,313,8,0.0,create database plocal:C:/OrientDB/orientdb-community-1.7.8/databases/test01 admin admin;,https://github.com/orientechnologies/orientdb/issues/3913,313,8,1.0,create database plocal:C:/OrientDB/orientdb-community-1.7.8/databases/test01 admin admin;,https://github.com/orientechnologies/orientdb/issues/3913
315,315,10,0.0,create database plocal:C:/OrientDB/orientdb-community-1.7.8/databases/test02 admin admin;,https://github.com/orientechnologies/orientdb/issues/3913,315,10,1.0,create database plocal:C:/OrientDB/orientdb-community-1.7.8/databases/test02 admin admin;,https://github.com/orientechnologies/orientdb/issues/3913
316,316,11,0.0,1. ```,https://github.com/orientechnologies/orientdb/issues/3913,316,11,1.0,1. ```,https://github.com/orientechnologies/orientdb/issues/3913
319,319,14,0.0,2. ```,https://github.com/orientechnologies/orientdb/issues/3913,319,14,1.0,2. ```,https://github.com/orientechnologies/orientdb/issues/3913
322,322,17,0.0,3. ```,https://github.com/orientechnologies/orientdb/issues/3913,322,17,1.0,3. ```,https://github.com/orientechnologies/orientdb/issues/3913
324,324,19,0.0,   ```,https://github.com/orientechnologies/orientdb/issues/3913,324,19,1.0,   ```,https://github.com/orientechnologies/orientdb/issues/3913
977,977,1,0.0,code line：882,https://github.com/redisson/redisson/issues/2217,977,1,1.0,code line：882,https://github.com/redisson/redisson/issues/2217
978,978,2,0.0,code segment：,https://github.com/redisson/redisson/issues/2217,978,2,1.0,code segment：,https://github.com/redisson/redisson/issues/2217
1002,1002,26,0.0,Redis-x64-3.0.500,https://github.com/redisson/redisson/issues/2217,1002,26,1.0,Redis-x64-3.0.500,https://github.com/redisson/redisson/issues/2217
1482,1482,12,1.0,```,https://github.com/spring-projects/spring-boot/issues/1369,1482,12,0.0,```,https://github.com/spring-projects/spring-boot/issues/1369
1495,1495,5,0.0,Sample Code,https://github.com/netty/netty/issues/5718,1495,5,1.0,Sample Code,https://github.com/netty/netty/issues/5718
1507,1507,17,0.0,Output,https://github.com/netty/netty/issues/5718,1507,17,1.0,Output,https://github.com/netty/netty/issues/5718
1619,1619,2,0.0,"""Unbounded index for representation: ...""",https://github.com/google/ExoPlayer/issues/3729,1619,2,1.0,"""Unbounded index for representation: ...""",https://github.com/google/ExoPlayer/issues/3729
1855,1855,0,0.0,environment:,https://github.com/BroadleafCommerce/BroadleafCommerce/issues/919,1855,0,1.0,environment:,https://github.com/BroadleafCommerce/BroadleafCommerce/issues/919
1856,1856,1,0.0,demo site version 3.1.2-GA,https://github.com/BroadleafCommerce/BroadleafCommerce/issues/919,1856,1,1.0,demo site version 3.1.2-GA,https://github.com/BroadleafCommerce/BroadleafCommerce/issues/919
1857,1857,2,0.0,jboss 7.1.1,https://github.com/BroadleafCommerce/BroadleafCommerce/issues/919,1857,2,1.0,jboss 7.1.1,https://github.com/BroadleafCommerce/BroadleafCommerce/issues/919
1858,1858,3,0.0,tomcat 6,https://github.com/BroadleafCommerce/BroadleafCommerce/issues/919,1858,3,1.0,tomcat 6,https://github.com/BroadleafCommerce/BroadleafCommerce/issues/919
1859,1859,4,0.0,postgresql 9,https://github.com/BroadleafCommerce/BroadleafCommerce/issues/919,1859,4,1.0,postgresql 9,https://github.com/BroadleafCommerce/BroadleafCommerce/issues/919
1913,1913,44,1.0,Windows 7 Professional Service Pack 1,https://github.com/netty/netty/issues/6132,1913,44,0.0,Windows 7 Professional Service Pack 1,https://github.com/netty/netty/issues/6132
2047,2047,1,0.0,"`Mono.error(new IllegalStateException(""boom"")).log(""foo"", FINE)` logs at DEBUG level with SLF4J.",https://github.com/reactor/reactor-core/issues/967,2047,1,1.0,"`Mono.error(new IllegalStateException(""boom"")).log(""foo"", FINE)` logs at DEBUG level with SLF4J.",https://github.com/reactor/reactor-core/issues/967
2068,2068,0,0.0,before 4.0.0.CR3 I do this with this code:,https://github.com/netty/netty/issues/1461,2068,0,1.0,before 4.0.0.CR3 I do this with this code:,https://github.com/netty/netty/issues/1461
2118,2118,3,1.0,There was 1 failure:,https://github.com/bazelbuild/bazel/issues/1994,2118,3,0.0,There was 1 failure:,https://github.com/bazelbuild/bazel/issues/1994
