,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
1,1.0,1.0,1.0,请问能提供一个上传pdf文件的例子吗？,yhirose_cpp-httplib_issues_686,1.0,1.0,0.0,请问能提供一个上传pdf文件的例子吗？,yhirose_cpp-httplib_issues_686
103,103.0,8.0,0.0,"`configure_item(""A collapsing header name"", default_open=True or False)` works until the user opens or closes the header. ",hoffstadt_DearPyGui_issues_765,103.0,8.0,1.0,"`configure_item(""A collapsing header name"", default_open=True or False)` works until the user opens or closes the header. ",hoffstadt_DearPyGui_issues_765
368,368.0,1.0,0.0,Version: Canary Build - 5bc98c2,yuzu-emu_yuzu_issues_2053,368.0,1.0,1.0,Version: Canary Build - 5bc98c2,yuzu-emu_yuzu_issues_2053
605,605.0,2.0,0.0,- Bitbucket: https://bitbucket.org/mrexodia/x64_dbg/issue/235,x64dbg_x64dbg_issues_235,605.0,2.0,1.0,- Bitbucket: https://bitbucket.org/mrexodia/x64_dbg/issue/235,x64dbg_x64dbg_issues_235
606,606.0,3.0,0.0,- Originally reported by: [mrexodia](http://bitbucket.org/mrexodia),x64dbg_x64dbg_issues_235,606.0,3.0,1.0,- Originally reported by: [mrexodia](http://bitbucket.org/mrexodia),x64dbg_x64dbg_issues_235
607,607.0,4.0,0.0,- Originally created at: 2015-01-02T15:44:36.533,x64dbg_x64dbg_issues_235,607.0,4.0,1.0,- Originally created at: 2015-01-02T15:44:36.533,x64dbg_x64dbg_issues_235
702,702.0,3.0,1.0,**Commit Hash:** 24b9756e3bfe2fc7acb650d1678068dc557decf9,olive-editor_olive_issues_1673,702.0,3.0,0.0,**Commit Hash:** 24b9756e3bfe2fc7acb650d1678068dc557decf9,olive-editor_olive_issues_1673
705,705.0,6.0,1.0,**Platform:** Linux,olive-editor_olive_issues_1673,705.0,6.0,0.0,**Platform:** Linux,olive-editor_olive_issues_1673
802,802.0,0.0,0.0,BACKTRACE d91050 FootpathSceneryRemoveAction::Query,OpenRCT2_OpenRCT2_issues_9324,802.0,0.0,1.0,BACKTRACE d91050 FootpathSceneryRemoveAction::Query,OpenRCT2_OpenRCT2_issues_9324
829,829.0,0.0,0.0,BACKTRACE e4d053,OpenRCT2_OpenRCT2_issues_10919,829.0,0.0,1.0,BACKTRACE e4d053,OpenRCT2_OpenRCT2_issues_10919
848,848.0,2.0,1.0,v1.5.0-dev-2194-gada0d5745,PCSX2_pcsx2_issues_2072,848.0,2.0,0.0,v1.5.0-dev-2194-gada0d5745,PCSX2_pcsx2_issues_2072
1051,1051.0,7.0,0.0,v0.3.4.1 (8de2965 on develop),OpenRCT2_OpenRCT2_issues_15255,1051.0,7.0,1.0,v0.3.4.1 (8de2965 on develop),OpenRCT2_OpenRCT2_issues_15255
1064,1064.0,20.0,1.0,_No response_,OpenRCT2_OpenRCT2_issues_15255,1064.0,20.0,0.0,_No response_,OpenRCT2_OpenRCT2_issues_15255
