,Reviewer1,Text,ID,src,Fabio,Mika,Disagreement
1782,1,Hello expo team! I am new to react native. Is it possible to develop offline apps with expo? (noob question),1783,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1917,1,: This works well,1918,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
221,1,"if you just want to explore the filesystem you can also ssh to the node and dig up the actual mount... it's cumbersome, but possible.",222,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
135,0,>   Attachments: SOLR-1553.patch,69,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
1224,1,Any suggestions who can take this?  It's still alive and well in m-c and,1225,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1168,1,oh that worked (annotating route). My desktop still had cookie cached. Tried it on my mobile and every refresh alternates pods.,1169,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
879,1,In turn trying to make it into an ansible playbook. I don't think i missed anything but I cant get my kubectl to authenticate locally.,880,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
156,0,I have : kube-system kube-controller-manager-gm2-master1 1/1 Running 0 1d kube-system kube-controller-manager-gm2-master2 1/1 Running 0 1d kube-system kube-controller-manager-gm2-master3 1/1 Running 0 1d,157,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1657,1,Thanks Brent,1658,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
323,1,"@roffe @bradley.hession Thanks a lot! In case you know kubernetes guys, we should add SSL+TLSv2/3 setup to official docs, I think this is an often use case in any modern environment",324,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
