,alpha,lower,upper,mean,label
0,95.0,93.9568656856875,95.14802635734118,0.9458101604480718,Multilang_VS1
0,95.0,95.39997069441604,96.31286805666083,0.9589227608386456,cpp_VS1
0,95.0,94.80415952240135,95.63816545666323,0.9525789933051907,Multilang_VS1
0,95.0,95.02373136725865,95.97506278362282,0.9555245897247383,java_VS1
0,95.0,93.82859975692443,95.21823226508029,0.9463723933346125,Multilang_VS1
0,95.0,94.86231049702552,95.69825249472271,0.9532365428900402,javascript_VS1
0,95.0,91.53875111688576,93.62205422884038,0.9250980895590581,Multilang_VS1
0,95.0,92.66866842637421,93.82219786974822,0.9330594549501054,php_VS1
0,95.0,91.2480961183722,92.02727381577088,0.9170355627333975,Multilang_VS1
0,95.0,91.73546475323343,92.37919269703939,0.9207790050750505,python_VS1
